,promth,label
1340,tampilkan foto saat jaman sma,sma
1341,tampilkan foto kita saat berdua,date
1342,aku ingin lihat foto mesra kita,date
1343,tampilkan kenangan saat sma,sma
1344,tampilkan foto aktivitas kita di kampus,kuliah
1345,aku ingin lihat foto yudo,yudo
1346,perlihatkan foto yudo saja,yudo
1347,aku ingin mengingat kenangan dulu saat sma,sma
1348,perlihatkan foto kita saat keluar,date
1349,tampilkan foto saat di kampus,kuliah
1350,tampilkan foto saat kuliah,kuliah 
1351,aku ingin lihat foto saat date,date
1352,tolong tampilkan foto saat sma,sma
1353,aku ingin lihat foto ku,yudo
1354,aku ingin lihat foto ovil,ovil 
1355,aku ingin lihat foto ovil saja,ovil 
1356,bisa tolong tampilkan foto ku ,yudo
1357,foto saat kuliah,kuliah
1358,foto acara kampus,kuliah
1359,aku ingin lihat foto ovil apa saja,ovil 
1360,aku ingin lihat jumplah foto ku,len_yudo
1361,jumlah foto saat kuliah berapa,len_kuliah
1362,berapasih jumlah foto ku,len_yudo
1363,tampilkan foto ovil,ovil 
1364,tampilkan foto ku dong,yudo
1365,kenangan saat sma,sma
1366,tampilkan jumlah foto saat sma,len_sma
1367,kenangan saat sma apa saja,sma 
1368,tampilkan foto ovil saja ya,ovil 
1369,tampilkan foto saat jaman sma,sma
1370,tampilkan foto kita saat berdua,date
1371,aku ingin lihat foto mesra kita,date
1372,tampilkan kenangan saat sma,sma
1373,tampilkan foto aktivitas kita di kampus,kuliah
1374,aku ingin lihat foto yudo,yudo
1375,perlihatkan foto yudo saja,yudo
1376,aku ingin mengingat kenangan dulu saat sma,sma
1377,tampilkan dong jumlah foto saat date ya,len_date
1378,tampilkan foto saat di kampus,kuliah
1379,tampilkan foto saat kuliah,kuliah 
1380,aku ingin lihat foto saat date,date
1381,tolong tampilkan foto saat sma,sma
1382,aku ingin lihat foto ku,yudo
1383,aku ingin lihat foto ovil,ovil 
1384,aku ingin lihat foto ovil saja,ovil 
1385,bisa tolong tampilkan foto ku,yudo
1386,foto saat kuliah,kuliah
1387,foto acara kampus,kuliah
1388,aku ingin lihat foto ovil apa saja,ovil 
1389,aku ingin lihat jumplah foto ku,len_yudo
1390,jumlah foto saat kuliah berapa,len_kuliah
1391,berapasih jumlah foto ku,len_yudo
1392,tampilkan foto ovil,ovil 
1393,tampilkan foto ku dong,yudo
1394,kenangan saat sma,sma
1395,tampilkan jumlah foto saat sma,len_sma
1396,kenangan saat sma apa saja,sma 
1397,tampilkan foto ovil saja ya,ovil 
1398,tampilkan foto saat jaman sma,sma
